Velocity, Vel [m/s]
4515,0
0.00000000,0.0000000000000000
0.00390000,-0.0001061422707311
0.00780000,-0.0001032407781808
0.01170000,-0.0000979365418098
0.01560000,-0.0000900865513517
0.01950000,-0.0000796322009695
0.02340000,-0.0000664795541859
0.02730000,-0.0000504515140738
0.03120000,-0.0000312540141105
0.03520000,-0.0000085631620697
0.03910000,0.0000177733824290
0.04300000,0.0000477945377685
0.04690000,0.0000814097020400
0.05080000,0.0001184214675380
0.05470000,0.0001588747743066
0.05860000,0.0002032432413098
0.06250000,0.0002525627633115
0.06640000,0.0003084553607241
0.07030000,0.0003729165557415
0.07420000,0.0004478594845455
0.07810000,0.0005343053221636
0.08200000,0.0006314959313395
0.08590000,0.0007363017281502
0.08980000,0.0008432194022169
0.09370000,0.0009449222990769
0.09770000,0.0010332147621243
0.10160000,0.0011002848762025
0.10550000,0.0011402009581072
0.10940000,0.0011505892902881
0.11330000,0.0011338714203041
0.11720000,0.0010972828993079
0.12110000,0.0010516645471653
0.12500000,0.0010095119891312
0.12890000,0.0009828724763923
0.13280000,0.0009814279003529
0.13670000,0.0010099357953740
0.14060000,0.0010662997853388
0.14450000,0.0011400754204646
0.14840000,0.0012131555807761
0.15230000,0.0012640788824205
0.15620000,0.0012685795364320
0.16020000,0.0012067446034132
0.16410000,0.0010705653348146
0.16800000,0.0008583981027442
0.17190000,0.0005794458695064
0.17580000,0.0002568085052816
0.17970000,-0.0000810753477937
0.18360000,-0.0004046231249542
0.18750000,-0.0006887326084338
0.19140000,-0.0009172910988362
0.19530000,-0.0010845958924961
0.19920000,-0.0011981768540774
0.20310000,-0.0012775804605232
0.20700000,-0.0013526440728325
0.21090000,-0.0014588432534223
0.21480000,-0.0016278789896410
0.21870000,-0.0018913555675003
0.22270000,-0.0022685991036177
0.22660000,-0.0027540639000625
0.23050000,-0.0033360796611241
0.23440000,-0.0039894294968403
0.23830000,-0.0046692454761525
0.24220000,-0.0053275926800244
0.24610000,-0.0059161897904730
0.25000000,-0.0063923623935207
0.25390000,-0.0067249858666757
0.25780000,-0.0068983147855102
0.26170000,-0.0069169259048357
0.26560000,-0.0068065104575275
0.26950000,-0.0066092794886829
0.27340000,-0.0063759414041013
0.27730000,-0.0061599426816092
0.28120000,-0.0060042058060878
0.28520000,-0.0059391398675446
0.28910000,-0.0059813894037531
0.29300000,-0.0061156660502729
0.29690000,-0.0063032142266381
0.30080000,-0.0064984029960899
0.30470000,-0.0066544745432730
0.30860000,-0.0067363708159941
0.31250000,-0.0067264495157082
0.31640000,-0.0066264929137336
0.32030000,-0.0064586128031538
0.32420000,-0.0062598790156937
0.32810000,-0.0060727331313995
0.33200000,-0.0059325612396555
0.33590000,-0.0058593001469016
0.33980000,-0.0058566840666838
0.34370000,-0.0059166176345172
0.34770000,-0.0060247649321907
0.35160000,-0.0061649110519572
0.35550000,-0.0063232768369347
0.35940000,-0.0064946722910660
0.36330000,-0.0066865557458473
0.36720000,-0.0069166248756481
0.37110000,-0.0072046950255200
0.37500000,-0.0075641619825806
0.37890000,-0.0079984567951833
0.38280000,-0.0085014623759005
0.38670000,-0.0090606056985387
0.39060000,-0.0096568989647236
0.39450000,-0.0102685610611010
0.39840000,-0.0108771568369747
0.40230000,-0.0114698228172694
0.40620000,-0.0120536358374252
0.41020000,-0.0126403908605947
0.41410000,-0.0132264991638763
0.41800000,-0.0138120791234152
0.42190000,-0.0143877152608036
0.42580000,-0.0149228166392544
0.42970000,-0.0153795143180299
0.43360000,-0.0157129419128294
0.43750000,-0.0158820705174410
0.44140000,-0.0158629840634120
0.44530000,-0.0156561000912770
0.44920000,-0.0152826908376298
0.45310000,-0.0147781445719598
0.45700000,-0.0141788945575930
0.46090000,-0.0135130958458325
0.46480000,-0.0128062433609920
0.46870000,-0.0120490149166357
0.47270000,-0.0112247217315694
0.47660000,-0.0103437742694275
0.48050000,-0.0093897167842241
0.48440000,-0.0083540673234671
0.48830000,-0.0072681332771237
0.49220000,-0.0061691384067332
0.49610000,-0.0051066480097133
0.50000000,-0.0041353158740990
0.50390000,-0.0033026392233045
0.50780000,-0.0026410314685204
0.51170000,-0.0021504979826560
0.51560000,-0.0017989441128773
0.51950000,-0.0015284151336988
0.52340000,-0.0012690301670244
0.52730000,-0.0009585121731663
0.53120000,-0.0005334786066555
0.53520000,0.0000447881482607
0.53910000,0.0007644393409046
0.54300000,0.0015985938055870
0.54690000,0.0024971337709532
0.55080000,0.0033845691045579
0.55470000,0.0041929796327136
0.55860000,0.0048629877897926
0.56250000,0.0053490835808771
0.56640000,0.0056286335096216
0.57030000,0.0057070344890066
0.57420000,0.0056263827971788
0.57810000,0.0054570844933721
0.58200000,0.0052891059250463
0.58590000,0.0052222053686292
0.58980000,0.0053500513260634
0.59370000,0.0057750134985413
0.59770000,0.0065721502838059
0.60160000,0.0077512514707337
0.60550000,0.0092996528333948
0.60940000,0.0111676388136517
0.61330000,0.0132586449064997
0.61720000,0.0154626323479919
0.62110000,0.0176539649197869
0.62500000,0.0197032805498069
0.62890000,0.0214972906466328
0.63280000,0.0229539945274978
0.63670000,0.0240332904051400
0.64060000,0.0247357957249049
0.64450000,0.0250973077916239
0.64840000,0.0251837356633092
0.65230000,0.0250874296020618
0.65620000,0.0249018707086720
0.66020000,0.0247073494390472
0.66410000,0.0245581571297419
0.66800000,0.0244494296060946
0.67190000,0.0243254064720651
0.67580000,0.0240951751795930
0.67970000,0.0236304067193834
0.68360000,0.0227861853264977
0.68750000,0.0214273780544224
0.69140000,0.0194545045564638
0.69530000,0.0168314748916507
0.69920000,0.0135767755778417
0.70310000,0.0097750484739552
0.70700000,0.0055556901002767
0.71090000,0.0010743824551147
