Velocity, Vel [m/s]
1474,0
0.00000000,0.0000000000000000
0.00390000,-0.0004093619890554
0.00780000,-0.0003996115943783
0.01170000,-0.0004039897225939
0.01560000,-0.0004330937310046
0.01960000,-0.0004848248277081
0.02350000,-0.0005420282938493
0.02740000,-0.0005802750737807
0.03130000,-0.0005777855944887
0.03520000,-0.0005221045446692
0.03910000,-0.0004178672098656
0.04300000,-0.0002856128638698
0.04690000,-0.0001560166361175
0.05080000,-0.0000614051384534
0.05470000,-0.0000255753422468
0.05860000,-0.0000591185074958
0.06250000,-0.0001582082307036
0.06640000,-0.0003091908415341
0.07030000,-0.0004957150202318
0.07420000,-0.0007044392566964
0.07810000,-0.0009365415524659
0.08210000,-0.0012040935076813
0.08600000,-0.0015159199082139
0.08990000,-0.0018791486203306
0.09380000,-0.0022839642480442
0.09770000,-0.0026923541242023
0.10160000,-0.0030513258564195
0.10550000,-0.0033009957891659
0.10940000,-0.0033863121300911
0.11330000,-0.0032662671097116
0.11720000,-0.0029175106303922
0.12110000,-0.0023415943519928
0.12500000,-0.0015725850777785
0.12890000,-0.0006862066264841
0.13280000,0.0001970767356878
0.13670000,0.0009225691701579
0.14060000,0.0013244850094587
0.14460000,0.0012756166147785
0.14850000,0.0007463513766532
0.15240000,-0.0001653859722936
0.15630000,-0.0012334908638367
0.16020000,-0.0021470029421448
0.16410000,-0.0025849388399647
0.16800000,-0.0022829403794667
0.17190000,-0.0010824082748005
0.17580000,0.0010485503875628
0.17970000,0.0040215383831256
0.18360000,0.0076687144694668
0.18750000,0.0117786204696219
0.19140000,0.0161348092223716
0.19530000,0.0205286270389653
0.19920000,0.0247244115210078
0.20310000,0.0285307098969358
0.20710000,0.0317433775242413
0.21100000,0.0340988521141229
0.21490000,0.0354807540992637
0.21880000,0.0358876539397167
0.22270000,0.0353843389907327
0.22660000,0.0342047652231930
0.23050000,0.0327182044195160
0.23440000,0.0313896833741797
0.23830000,0.0307022286126259
0.24220000,0.0310339242000891
0.24610000,0.0325718816866031
0.25000000,0.0352455454170399
0.25390000,0.0387297119754057
0.25780000,0.0425053887408691
0.26170000,0.0459601549673646
0.26560000,0.0485640958971025
0.26960000,0.0499617150093897
0.27350000,0.0500101226651314
0.27740000,0.0488537989878075
0.28130000,0.0468302414097793
0.28520000,0.0443334451455080
0.28910000,0.0417295501336286
