         time total_shea... 
 5.426176e-02 -7.501096e-01 
 5.458474e-02 -7.501411e-01 
 5.490773e-02 -7.500646e-01 
 5.523072e-02 -7.501118e-01 
 5.555370e-02 -7.501740e-01 
 5.587669e-02 -7.502522e-01 
 5.619968e-02 -7.503171e-01 
 5.652266e-02 -7.503864e-01 
 5.684565e-02 -7.502910e-01 
 5.716864e-02 -7.502821e-01 
 5.749162e-02 -7.502920e-01 
 5.781461e-02 -7.502970e-01 
 5.813760e-02 -7.502714e-01 
 5.846058e-02 -7.503286e-01 
 5.878357e-02 -7.504778e-01 
 5.910656e-02 -7.505467e-01 
 5.942954e-02 -7.506333e-01 
 5.975253e-02 -7.507742e-01 
 6.007552e-02 -7.506819e-01 
 6.039850e-02 -7.505232e-01 
 6.072149e-02 -7.504708e-01 
 6.104448e-02 -7.504061e-01 
 6.136746e-02 -7.503837e-01 
 6.169045e-02 -7.504905e-01 
 6.201344e-02 -7.505594e-01 
 6.233642e-02 -7.505351e-01 
 6.265941e-02 -7.505428e-01 
 6.298240e-02 -7.505460e-01 
 6.330538e-02 -7.505625e-01 
 6.362837e-02 -7.505613e-01 
 6.395136e-02 -7.506069e-01 
 6.427434e-02 -7.505659e-01 
 6.459733e-02 -7.504538e-01 
 6.492032e-02 -7.504018e-01 
 6.524330e-02 -7.504216e-01 
 6.556629e-02 -7.503542e-01 
 6.588928e-02 -7.504083e-01 
 6.621226e-02 -7.504322e-01 
 6.653525e-02 -7.503780e-01 
 6.685824e-02 -7.503445e-01 
 6.718122e-02 -7.503529e-01 
 6.750421e-02 -7.503664e-01 
 6.782720e-02 -7.503647e-01 
 6.815018e-02 -7.504202e-01 
 6.847317e-02 -7.504738e-01 
 6.879616e-02 -7.503985e-01 
 6.911914e-02 -7.502924e-01 
 6.944213e-02 -7.501919e-01 
 6.976512e-02 -7.500401e-01 
 7.008810e-02 -7.500249e-01 
 7.041109e-02 -7.500522e-01 
 7.073408e-02 -7.501367e-01 
 7.105706e-02 -7.501499e-01 
 7.138005e-02 -7.500838e-01 
 7.170304e-02 -7.500085e-01 
 7.202602e-02 -7.499298e-01 
 7.234901e-02 -7.499045e-01 
 7.267200e-02 -7.499855e-01 
 7.299498e-02 -7.499431e-01 
 7.331797e-02 -7.498371e-01 
 7.364096e-02 -7.498027e-01 
 7.396394e-02 -7.497251e-01 
 7.428693e-02 -7.496938e-01 
 7.460992e-02 -7.497342e-01 
 7.493290e-02 -7.497028e-01 
 7.525589e-02 -7.495842e-01 
 7.557888e-02 -7.495317e-01 
 7.590186e-02 -7.495601e-01 
 7.622485e-02 -7.495348e-01 
 7.654784e-02 -7.495218e-01 
 7.687082e-02 -7.495551e-01 
 7.719381e-02 -7.495026e-01 
 7.751680e-02 -7.494123e-01 
 7.783978e-02 -7.493262e-01 
 7.816277e-02 -7.493166e-01 
 7.848576e-02 -7.492381e-01 
 7.880874e-02 -7.491482e-01 
 7.913173e-02 -7.490840e-01 
 7.945472e-02 -7.490626e-01 
 7.977770e-02 -7.489988e-01 
 8.010069e-02 -7.489661e-01 
 8.042368e-02 -7.490090e-01 
 8.074666e-02 -7.490670e-01 
 8.106965e-02 -7.490907e-01 
 8.139264e-02 -7.487740e-01 
 8.171562e-02 -7.484151e-01 
 8.203861e-02 -7.486026e-01 
 8.236160e-02 -7.488062e-01 
 8.268458e-02 -7.486456e-01 
 8.300757e-02 -7.485531e-01 
 8.333056e-02 -7.486200e-01 
 8.365354e-02 -7.485448e-01 
 8.397653e-02 -7.483470e-01 
 8.429952e-02 -7.484699e-01 
 8.462250e-02 -7.487024e-01 
 8.494549e-02 -7.484037e-01 
 8.526848e-02 -7.482200e-01 
 8.559146e-02 -7.483706e-01 
 8.591445e-02 -7.484093e-01 
 8.623744e-02 -7.482438e-01 
 8.656042e-02 -7.481807e-01 
 8.688341e-02 -7.483971e-01 
 8.720640e-02 -7.482617e-01 
 8.752938e-02 -7.481571e-01 
 8.785237e-02 -7.481296e-01 
 8.817536e-02 -7.480109e-01 
 8.849834e-02 -7.478454e-01 
 8.882133e-02 -7.478808e-01 
 8.914432e-02 -7.479216e-01 
 8.946730e-02 -7.478044e-01 
 8.979029e-02 -7.477918e-01 
 9.011328e-02 -7.479140e-01 
 9.043626e-02 -7.478719e-01 
 9.075925e-02 -7.477012e-01 
 9.108224e-02 -7.478632e-01 
 9.140522e-02 -7.478016e-01 
 9.172821e-02 -7.477040e-01 
 9.205120e-02 -7.476498e-01 
 9.237418e-02 -7.476392e-01 
 9.269717e-02 -7.475732e-01 
 9.302016e-02 -7.475547e-01 
 9.334314e-02 -7.475356e-01 
 9.366613e-02 -7.476338e-01 
 9.398912e-02 -7.475442e-01 
 9.431210e-02 -7.475033e-01 
 9.463509e-02 -7.475395e-01 
 9.495808e-02 -7.475311e-01 
 9.528106e-02 -7.475049e-01 
 9.560405e-02 -7.473779e-01 
 9.592704e-02 -7.473657e-01 
 9.625002e-02 -7.473653e-01 
 9.657301e-02 -7.475276e-01 
 9.689600e-02 -7.475354e-01 
 9.721898e-02 -7.475046e-01 
 9.754197e-02 -7.474136e-01 
 9.786496e-02 -7.473108e-01 
 9.818794e-02 -7.472751e-01 
 9.851093e-02 -7.473488e-01 
 9.883392e-02 -7.473771e-01 
 9.915690e-02 -7.473530e-01 
 9.947989e-02 -7.473408e-01 
 9.980288e-02 -7.473339e-01 
 1.001259e-01 -7.473047e-01 
 1.004488e-01 -7.473339e-01 
 1.007718e-01 -7.474027e-01 
 1.010948e-01 -7.474369e-01 
 1.014178e-01 -7.474578e-01 
 1.017408e-01 -7.474557e-01 
 1.020638e-01 -7.473869e-01 
 1.023868e-01 -7.473615e-01 
 1.027098e-01 -7.475557e-01 
 1.030327e-01 -7.477636e-01 
 1.033557e-01 -7.477750e-01 
 1.036787e-01 -7.476218e-01 
 1.040017e-01 -7.476032e-01 
 1.043247e-01 -7.475751e-01 
 1.046477e-01 -7.475831e-01 
 1.049707e-01 -7.477044e-01 
 1.052936e-01 -7.479631e-01 
 1.056166e-01 -7.478781e-01 
 1.059396e-01 -7.478117e-01 
 1.062626e-01 -7.478535e-01 
 1.065856e-01 -7.478561e-01 
 1.069086e-01 -7.479059e-01 
 1.072316e-01 -7.480320e-01 
 1.075546e-01 -7.480300e-01 
 1.078775e-01 -7.479096e-01 
 1.082005e-01 -7.479419e-01 
 1.085235e-01 -7.481248e-01 
 1.088465e-01 -7.482476e-01 
 1.091695e-01 -7.483536e-01 
 1.094925e-01 -7.485379e-01 
 1.098155e-01 -7.485617e-01 
 1.101384e-01 -7.484044e-01 
 1.104614e-01 -7.484706e-01 
 1.107844e-01 -7.486701e-01 
 1.111074e-01 -7.484983e-01 
 1.114304e-01 -7.485361e-01 
 1.117534e-01 -7.487465e-01 
 1.120764e-01 -7.488915e-01 
 1.123994e-01 -7.489317e-01 
 1.127223e-01 -7.489339e-01 
 1.130453e-01 -7.489770e-01 
 1.133683e-01 -7.490311e-01 
 1.136913e-01 -7.490937e-01 
 1.140143e-01 -7.492547e-01 
 1.143373e-01 -7.493176e-01 
 1.146603e-01 -7.492490e-01 
 1.149832e-01 -7.493630e-01 
