run,record,scale,channel,n,dur_s,start,peak,vmin,vmax,end_mean,residual
1,HU12,0.5,Bot_Quarter_Disp,9505,3.0697,5.912967e-05,0.00027126232999999996,-0.0001293327,0.000330392,-9.277223529411765e-06,-6.840689352941177e-05
1,HU12,0.5,Channel_10_LeftJoistBelowSlab2,9505,3.0697,0.0002256118,0.00031402070000000005,-7.808388e-05,0.0005396325,0.00016059716932773112,-6.501463067226887e-05
1,HU12,0.5,Channel_11_LeftJoistBelowSlab2,9505,3.0697,0.0001275684,0.0002612907,-8.586435e-05,0.0003888591,6.151031409663866e-05,-6.605808590336134e-05
1,HU12,0.5,Channel_12_AccTable,9505,3.0697,8.261775e-05,0.00792360375,-0.007840986,0.007828642,0.0,-8.261775e-05
1,HU12,0.5,Channel_13_AccSlab1,9505,3.0697,-4.514506e-10,0.008663495548549399,-0.008663496,0.008494695,-9.103749142857128e-07,-9.099234636857128e-07
1,HU12,0.5,Channel_14_AccSlab2,9505,3.0697,-4.161689e-08,0.02208725838311,-0.0220873,0.02084905,-6.067558865546197e-06,-6.025941975546197e-06
1,HU12,0.5,Channel_15_AccBot,9505,3.0697,-9.328258e-09,0.010993570671742,-0.01099358,0.008264387,-2.70989178235292e-06,-2.70056352435292e-06
1,HU12,0.5,Channel_16_AccMid,9505,3.0697,-7.770271e-08,0.02725038229729,-0.02725046,0.02246131,-8.94644065126051e-06,-8.86873794126051e-06
1,HU12,0.5,Channel_17_AccTop,9505,3.0697,-4.465559e-08,0.02385949534441,-0.02385954,0.0228284,-8.590895506722718e-06,-8.546239916722718e-06
1,HU12,0.5,Channel_19_DispTopQRight,9505,3.0697,0.0005009483,0.00043888863,6.205967e-05,0.0009049349,0.0004359372386554622,-6.501106134453776e-05
1,HU12,0.5,Channel_1_DispBot,9505,3.0697,7.655898e-05,0.00027638612,-0.000134279,0.0003529451,8.423014998151259e-06,-6.813596500184873e-05
1,HU12,0.5,Channel_20_TopBeam,9505,3.0697,-3.7574e-05,0.0002419678,-0.0001489774,0.0002043938,-0.00010812678886554621,-7.055278886554621e-05
1,HU12,0.5,Channel_2_DispMid,9505,3.0697,0.0004462773,0.00047546044,-2.918314e-05,0.0008605983,0.0003818665802521009,-6.441071974789913e-05
1,HU12,0.5,Channel_3_DispTopQLeft,9505,3.0697,0.00049446,0.0004373605,5.70995e-05,0.000902952,0.0004311431957983194,-6.331680420168057e-05
1,HU12,0.5,Channel_4_DispTopQRight,9505,3.0697,0.0004922432,0.00044621872,4.602448e-05,0.0008956634,0.0004256585863445378,-6.658461365546223e-05
1,HU12,0.5,Channel_5_DispTable,9505,3.0697,8.005324e-09,0.000235064894676,-6.993204e-05,0.0002350729,-6.993204000000001e-05,-6.9940045324e-05
1,HU12,0.5,Channel_8_LeftJoistBelowSlab1,9505,3.0697,5.697144e-05,0.00027029486,-0.0001235212,0.0003272663,-1.1172639342436974e-05,-6.814407934243698e-05
1,HU12,0.5,Channel_9_LeftJoistAboveSlab1,9505,3.0697,8.152265e-05,0.00027823845,-0.0001314669,0.0003597611,1.3899692642857143e-05,-6.762295735714286e-05
1,HU12,0.5,Mid_Disp,9505,3.0697,0.0004462773,0.00047546044,-2.918314e-05,0.0008605983,0.0003818665802521009,-6.441071974789913e-05
1,HU12,0.5,Record_Disp,9505,3.0697,-3.7574e-05,0.0002419678,-0.0001489774,0.0002043938,-0.00010812678886554621,-7.055278886554621e-05
