run,folder,T_exp_psd_s,T_exp_welch_s,T_ch_bot_s,T_ch_mid_s,T_ch_top_s,channel_spread,window_s,cycles_in_window,accepted,stop_rule,note,pulse_end_s,T_driver_logged_s
1,Run01_HU12_s0p50,0.102347,0.102352,0.102347,0.102347,0.102347,0.0,2.9634,29.0,1,sustained-quiet RMS,seed,,0.102347
2,Run02_HU12_s0p75,0.098962,0.100002,0.098969,0.098964,0.098957,0.0001,2.9582,29.9,1,sustained-quiet RMS,tracked p=100%,,0.098962
3,Run03_EC40_s0p20,0.096286,0.09612,0.096294,0.09629,0.09628,0.0001,2.9537,30.7,1,sustained-quiet RMS,tracked p=100%,,0.096286
4,Run04_HU12_s1p00,0.095066,0.09666,0.095068,0.095066,0.095066,0.0,2.9482,31.0,1,sustained-quiet RMS,tracked p=100%,,0.095066
5,Run05_HU12_s1p25,0.095731,0.098443,0.095725,0.095728,0.095736,0.0001,2.9482,30.8,1,sustained-quiet RMS,tracked p=100%,,0.095731
6,Run06_EC40_s0p30,0.098632,0.099108,0.098639,0.098635,0.098628,0.0001,2.9634,30.0,1,sustained-quiet RMS,tracked p=100%,,0.098632
7,Run07_HU12_s1p50,0.096311,0.099019,0.096309,0.09631,0.096313,0.0,2.9534,30.7,1,sustained-quiet RMS,tracked p=100%,,0.096311
8,Run08_EC40_s0p40,0.095749,0.096757,0.095756,0.095751,0.095744,0.0001,2.9534,30.8,1,sustained-quiet RMS,tracked p=100%,,0.095749
9,Run09_HU12_s1p75,0.097145,0.099229,0.097153,0.097148,0.09714,0.0001,2.9482,30.3,1,sustained-quiet RMS,tracked p=100%,,0.097145
10,Run10_HU12_s2p00,0.098478,0.100118,0.098471,0.098475,0.098483,0.0001,2.9534,30.0,1,sustained-quiet RMS,tracked p=100%,,0.098478
11,Run11_EC40_s0p50,0.097407,0.098767,0.097411,0.097408,0.097405,0.0001,2.9534,30.3,1,sustained-quiet RMS,tracked p=100%,,0.097407
12,Run12_HU12_s2p25,0.099307,0.100434,0.099297,0.099304,0.099313,0.0002,2.9534,29.7,1,sustained-quiet RMS,tracked p=100%,,0.099307
13,Run13_HU12_s2p50,0.100175,0.10129,0.100168,0.100172,0.100179,0.0001,2.9531,29.5,1,sustained-quiet RMS,tracked p=100%,,0.100175
14,Run14_HU12_s2p75,0.100633,0.101872,0.100627,0.100631,0.100637,0.0001,2.9583,29.4,1,sustained-quiet RMS,tracked p=100%,,0.100633
15,Run15_HU12_s3p00,0.099731,0.102098,0.099735,0.099731,0.09973,0.0,2.9433,29.5,1,sustained-quiet RMS,tracked p=100%,,0.099731
16,Run16_HU12_s3p50,0.098809,0.102516,0.0269,0.098807,0.098809,2.6732,2.862,29.0,0,sustained-quiet RMS,channels disagree by 267% | tracked p=100%,,0.098809
17,Run17_HU12_s4p00,0.104494,0.024979,0.024846,0.02484,0.104629,3.2122,2.9382,28.1,0,sustained-quiet RMS,channels disagree by 321% | tracked p=67%,,0.104494
18,Run18_HU12_s4p50,0.110023,0.111226,0.047118,0.109986,0.110068,1.336,2.9479,26.8,0,sustained-quiet RMS,channels disagree by 134% | tracked p=100%,,0.110023
19,Run19_HU12_s5p00,0.112148,0.112328,0.112177,0.112156,0.112136,0.0004,2.9556,26.4,1,sustained-quiet RMS,tracked p=100%,,0.112148
20,Run20_HU12_s5p50,0.111288,0.112384,0.026082,0.111205,0.111407,3.2715,2.9451,26.5,0,sustained-quiet RMS,channels disagree by 327% | tracked p=100%,,0.111288
21,Run21_HU12_s6p00,0.107057,0.026445,0.026352,0.026376,0.078668,1.9853,2.9407,37.4,0,sustained-quiet RMS,channels disagree by 199% | tracked p=9%,,0.107057
22,Run22_FR76_s1p00,0.099942,0.026115,0.026139,0.026132,0.040206,0.5386,2.9442,36.0,0,sustained-quiet RMS,channels disagree by 54% | tracked p=35%,,0.099942
23,Run23_FR76_s1p50,0.108437,0.110164,0.025375,0.108347,0.108583,3.2791,2.9592,27.3,0,sustained-quiet RMS,channels disagree by 328% | tracked p=100%,,0.108437
24,Run24_FR76_s1p75,0.110263,0.112694,0.025725,0.110081,0.110561,3.2978,2.9439,26.7,0,sustained-quiet RMS,channels disagree by 330% | tracked p=100%,,0.110263
25,Run25_FR76_s2p00,0.110537,0.112514,0.025524,0.110457,0.110693,3.3368,2.9542,26.7,0,sustained-quiet RMS,channels disagree by 334% | tracked p=100%,,0.110537
