run,record,peak_tilt_deg,residual_tilt_deg,peak_topq_avg_rel_mm,peak_rel_disp_mm,peak_ch4_rel_mm,peak_ch19_rel_mm,T_end_over_Tinit,beta_applied,Sd_target_mm,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,n_cycles_used,T_id_held,s_applied
16,HU12,0.1459,0.028,5.2474,,5.2019,5.2474,1.1387,1.0,2.826,3.5,0.104762,1.1387,0.8074,1.8488,1.53,1.7892,0.1824,0.029805,0.104762,3.0,1.0,0.0
17,HU12,0.0804,0.002,2.8907,,2.9644,2.8907,1.1387,1.0,3.2297,4.0,0.104762,1.1387,0.8074,2.113,1.53,2.0448,0.2085,0.034063,0.104762,3.0,1.0,0.0
18,HU12,0.085,-0.0005,3.0578,,3.1041,3.0578,1.1387,1.0,3.6334,4.5,0.104762,1.1387,0.8074,2.3771,1.53,2.3004,0.2346,0.038321,0.104762,3.0,1.0,0.0
19,HU12,0.1312,0.025,4.7176,,4.642,4.7176,1.1387,1.0,4.0372,5.0,0.104762,1.1387,0.8074,2.6412,1.53,2.556,0.2606,0.042578,0.104762,3.0,1.0,0.0
20,HU12,0.0751,-0.0015,2.7016,,2.7513,2.7016,1.1387,1.0,4.4409,5.5,0.104762,1.1387,0.8074,2.9053,1.53,2.8116,0.2867,0.046836,0.104762,3.0,1.0,0.0
21,HU12,0.1013,-0.0159,3.6428,,3.5726,3.6428,1.1387,1.0,4.8446,6.0,0.104762,1.1387,0.8074,3.1694,1.53,3.0672,0.3128,0.051094,0.104762,3.0,1.0,0.0
22,FR76,0.1535,0.0161,5.5203,,5.6391,5.5203,1.1387,1.0,1.7376,1.0,0.104762,1.1387,1.7376,1.299,1.34,1.1001,0.1122,0.018326,0.104762,3.0,1.0,0.0
23,FR76,0.1291,0.0258,4.6408,,4.9942,4.6408,1.1387,1.0,2.6064,1.5,0.104762,1.1387,1.7376,1.9485,1.34,1.6502,0.1683,0.027489,0.104762,3.0,1.0,0.0
24,FR76,0.1263,-0.0128,4.5395,,4.7262,4.5395,1.1387,1.0,3.0408,1.75,0.104762,1.1387,1.7376,2.2732,1.34,1.9252,0.1963,0.03207,0.104762,3.0,1.0,0.0
25,FR76,0.1462,0.0123,5.2565,,5.1878,5.2565,1.1387,1.0,3.4752,2.0,0.104762,1.1387,1.7376,2.598,1.34,2.2002,0.2244,0.036652,0.104762,3.0,1.0,0.0
