run,record,scale,T_excitation,T_over_Tinit,Sd_record_mm,Sd_target_mm,Sd_fixedT1_mm,amplification,A_mps2,PGA_g,V_peak_mps,T_end,T_end_over_Tinit,beta_applied,s_applied
1,HU12,0.5,0.092,1.0,0.5282,0.2641,0.2641,1.0,0.218,0.0222,0.003192,0.094724,1.0296,1.0,0
2,HU12,0.75,0.094724,1.0296,0.585,0.4388,0.3962,1.11,0.3434,0.035,0.005175,0.094801,1.0304,1.0,0
3,EC40,0.2,0.094801,1.0304,1.3754,0.2751,0.2497,1.1,0.2153,0.022,0.003245,0.094773,1.0301,1.0,0
4,HU12,1.0,0.094773,1.0301,0.5861,0.5861,0.5282,1.11,0.4587,0.0468,0.006914,0.09484,1.0309,1.0,0
5,HU12,1.25,0.09484,1.0309,0.5875,0.7344,0.6603,1.11,0.5749,0.0586,0.008666,0.094896,1.0315,1.0,0
6,EC40,0.3,0.094896,1.0315,1.3827,0.4148,0.3746,1.11,0.3249,0.0331,0.004896,0.094792,1.0303,1.0,0
7,HU12,1.5,0.094792,1.0303,0.5865,0.8797,0.7924,1.11,0.6886,0.0702,0.010378,0.095046,1.0331,1.0,0
8,EC40,0.4,0.095046,1.0331,1.3942,0.5577,0.4994,1.12,0.4353,0.0444,0.006565,0.094823,1.0307,1.0,0
9,HU12,1.75,0.094823,1.0307,0.5871,1.0275,0.9244,1.11,0.8044,0.082,0.012124,0.095237,1.0352,1.0,0
10,HU12,2.0,0.095237,1.0352,0.5959,1.1917,1.0565,1.13,0.922,0.094,0.013959,0.09618,1.0454,1.0,0
11,EC40,0.5,0.09618,1.0454,1.4796,0.7398,0.6243,1.19,0.558,0.0569,0.00854,0.09489,1.0314,1.0,0
12,HU12,2.25,0.09489,1.0314,0.5886,1.3242,1.1885,1.11,1.037,0.1057,0.01563,0.095601,1.0391,1.0,0
13,HU12,2.5,0.095601,1.0391,0.6036,1.5089,1.3206,1.14,1.1519,0.1175,0.017526,0.096392,1.0477,1.0,0
14,HU12,2.75,0.096392,1.0477,0.6201,1.7054,1.4527,1.17,1.284,0.1309,0.019697,0.097524,1.06,1.0,0
15,HU12,3.0,0.097524,1.06,0.6437,1.9312,1.5847,1.22,1.4144,0.1442,0.021939,0.09849,1.0705,1.0,0
16,HU12,3.5,0.09849,1.0705,0.6639,2.3235,1.8488,1.26,1.683,0.1716,0.026374,0.099696,1.0837,1.0,0
17,HU12,4.0,0.099696,1.0837,0.689,2.756,2.113,1.3,1.9297,0.1968,0.030619,0.101059,1.0985,1.0,0
18,HU12,4.5,0.101059,1.0985,0.7203,3.2411,2.3771,1.36,2.2092,0.2253,0.035528,0.102412,1.1132,1.0,0
19,HU12,5.0,0.102412,1.1132,0.7521,3.7605,2.6412,1.42,2.512,0.2562,0.040931,0.102783,1.1172,1.0,0
20,HU12,5.5,0.102783,1.1172,0.7608,4.1846,2.9053,1.44,2.7581,0.2812,0.045117,0.102608,1.1153,1.0,0
21,HU12,6.0,0.102608,1.1153,0.7567,4.5403,3.1694,1.43,3.01,0.3069,0.049138,0.106005,1.1522,1.0,0
22,FR76,1.0,0.106005,1.1522,1.732,1.732,1.299,1.33,1.0791,0.11,0.018198,0.101707,1.1055,1.0,0
23,FR76,1.5,0.101707,1.1055,1.6791,2.5187,1.9485,1.29,1.6957,0.1729,0.027444,0.106054,1.1528,1.0,0
24,FR76,1.75,0.106054,1.1528,1.7315,3.0301,2.2732,1.33,1.8841,0.1921,0.031791,0.107452,1.168,1.0,0
25,FR76,2.0,0.107452,1.168,1.7173,3.4346,2.598,1.32,2.0747,0.2116,0.035465,0.110721,1.2035,1.0,0
