         time tiltx_up_s... 
 6.946153e-02 -1.464728e-02 
 6.986537e-02 -1.517094e-02 
 7.026922e-02 -1.565344e-02 
 7.067307e-02 -1.608489e-02 
 7.107691e-02 -1.649394e-02 
 7.148076e-02 -1.688106e-02 
 7.188460e-02 -1.720109e-02 
 7.228845e-02 -1.741440e-02 
 7.269230e-02 -1.750395e-02 
 7.309614e-02 -1.746296e-02 
 7.349999e-02 -1.728461e-02 
 7.390383e-02 -1.698476e-02 
 7.430768e-02 -1.658309e-02 
 7.471153e-02 -1.608113e-02 
 7.511537e-02 -1.548483e-02 
 7.551922e-02 -1.478687e-02 
 7.592306e-02 -1.398542e-02 
 7.632691e-02 -1.310343e-02 
 7.673076e-02 -1.215244e-02 
 7.713460e-02 -1.117725e-02 
 7.753845e-02 -1.020436e-02 
 7.794229e-02 -9.250912e-03 
 7.834614e-02 -8.312977e-03 
 7.874999e-02 -7.402775e-03 
 7.915383e-02 -6.552360e-03 
 7.955768e-02 -5.776568e-03 
 7.996153e-02 -5.064488e-03 
 8.036537e-02 -4.417114e-03 
 8.076922e-02 -3.832243e-03 
 8.117306e-02 -3.286857e-03 
 8.157691e-02 -2.762927e-03 
 8.198076e-02 -2.273083e-03 
 8.238460e-02 -1.832543e-03 
 8.278845e-02 -1.434638e-03 
 8.319229e-02 -1.061196e-03 
 8.359614e-02 -7.194725e-04 
 8.399999e-02 -4.291304e-04 
 8.440383e-02 -1.938283e-04 
 8.480768e-02 -1.330517e-05 
 8.521152e-02  1.105492e-04 
 8.561537e-02  1.872661e-04 
 8.601922e-02  2.374332e-04 
 8.642306e-02  2.812988e-04 
 8.682691e-02  3.404949e-04 
 8.723075e-02  4.159245e-04 
 8.763460e-02  4.933651e-04 
 8.803845e-02  5.466554e-04 
 8.844229e-02  5.578532e-04 
 8.884614e-02  5.193481e-04 
 8.924999e-02  4.395874e-04 
 8.965383e-02  3.285847e-04 
 9.005768e-02  1.829052e-04 
 9.046152e-02 -1.260157e-05 
 9.086537e-02 -2.670488e-04 
 9.126922e-02 -5.944338e-04 
 9.167306e-02 -9.924386e-04 
 9.207691e-02 -1.459799e-03 
 9.248075e-02 -1.990967e-03 
 9.288460e-02 -2.582990e-03 
 9.328845e-02 -3.234454e-03 
 9.369229e-02 -3.945338e-03 
 9.409614e-02 -4.696050e-03 
 9.449998e-02 -5.484384e-03 
 9.490383e-02 -6.318990e-03 
 9.530768e-02 -7.208470e-03 
 9.571152e-02 -8.164125e-03 
 9.611537e-02 -9.176322e-03 
 9.651921e-02 -1.025703e-02 
 9.692306e-02 -1.140335e-02 
 9.732691e-02 -1.259451e-02 
 9.773075e-02 -1.381046e-02 
 9.813460e-02 -1.506352e-02 
 9.853845e-02 -1.636775e-02 
 9.894229e-02 -1.772336e-02 
 9.934614e-02 -1.912690e-02 
 9.974998e-02 -2.055672e-02 
 1.001538e-01 -2.197095e-02 
 1.005577e-01 -2.334057e-02 
 1.009615e-01 -2.463434e-02 
 1.013654e-01 -2.583776e-02 
 1.017692e-01 -2.693181e-02 
 1.021731e-01 -2.790923e-02 
 1.025769e-01 -2.876833e-02 
 1.029808e-01 -2.950366e-02 
 1.033846e-01 -3.011847e-02 
 1.037884e-01 -3.060848e-02 
 1.041923e-01 -3.098402e-02 
 1.045961e-01 -3.123144e-02 
 1.050000e-01 -3.134698e-02 
 1.054038e-01 -3.133497e-02 
 1.058077e-01 -3.120524e-02 
 1.062115e-01 -3.095308e-02 
 1.066154e-01 -3.058011e-02 
 1.070192e-01 -3.008619e-02 
 1.074231e-01 -2.947045e-02 
 1.078269e-01 -2.874000e-02 
 1.082308e-01 -2.790139e-02 
 1.086346e-01 -2.695422e-02 
 1.090384e-01 -2.591600e-02 
 1.094423e-01 -2.481929e-02 
 1.098461e-01 -2.369292e-02 
 1.102500e-01 -2.254264e-02 
 1.106538e-01 -2.137923e-02 
 1.110577e-01 -2.019376e-02 
 1.114615e-01 -1.897991e-02 
 1.118654e-01 -1.775760e-02 
 1.122692e-01 -1.654618e-02 
 1.126731e-01 -1.536539e-02 
 1.130769e-01 -1.422449e-02 
 1.134808e-01 -1.311573e-02 
 1.138846e-01 -1.202689e-02 
 1.142884e-01 -1.094554e-02 
 1.146923e-01 -9.867229e-03 
 1.150961e-01 -8.806144e-03 
 1.155000e-01 -7.768570e-03 
 1.159038e-01 -6.741336e-03 
 1.163077e-01 -5.721990e-03 
 1.167115e-01 -4.712180e-03 
 1.171154e-01 -3.732162e-03 
 1.175192e-01 -2.768039e-03 
 1.179231e-01 -1.832383e-03 
 1.183269e-01 -9.339930e-04 
 1.187307e-01 -7.495421e-05 
 1.191346e-01  7.448534e-04 
 1.195384e-01  1.545844e-03 
 1.199423e-01  2.314745e-03 
 1.203461e-01  3.066551e-03 
 1.207500e-01  3.783468e-03 
 1.211538e-01  4.443492e-03 
 1.215577e-01  5.088208e-03 
 1.219615e-01  5.721427e-03 
 1.223654e-01  6.314349e-03 
 1.227692e-01  6.851569e-03 
 1.231731e-01  7.316696e-03 
 1.235769e-01  7.696124e-03 
 1.239807e-01  7.995526e-03 
 1.243846e-01  8.226418e-03 
 1.247884e-01  8.387859e-03 
 1.251923e-01  8.493464e-03 
 1.255961e-01  8.533177e-03 
 1.260000e-01  8.531154e-03 
 1.264038e-01  8.486080e-03 
 1.268077e-01  8.402356e-03 
 1.272115e-01  8.298783e-03 
 1.276154e-01  8.190630e-03 
 1.280192e-01  8.079646e-03 
 1.284231e-01  7.982093e-03 
 1.288269e-01  7.908109e-03 
 1.292307e-01  7.856407e-03 
 1.296346e-01  7.837690e-03 
 1.300384e-01  7.844324e-03 
 1.304423e-01  7.888834e-03 
 1.308461e-01  7.965476e-03 
 1.312500e-01  8.058724e-03 
 1.316538e-01  8.146800e-03 
 1.320577e-01  8.232460e-03 
 1.324615e-01  8.311471e-03 
 1.328654e-01  8.395687e-03 
 1.332692e-01  8.482635e-03 
 1.336731e-01  8.574394e-03 
 1.340769e-01  8.659768e-03 
 1.344807e-01  8.731706e-03 
 1.348846e-01  8.820857e-03 
 1.352884e-01  8.913769e-03 
 1.356923e-01  9.022251e-03 
 1.360961e-01  9.162680e-03 
 1.365000e-01  9.299841e-03 
 1.369038e-01  9.430775e-03 
 1.373077e-01  9.551617e-03 
 1.377115e-01  9.665119e-03 
 1.381154e-01  9.791520e-03 
 1.385192e-01  9.947295e-03 
 1.389231e-01  1.014351e-02 
 1.393269e-01  1.038381e-02 
 1.397307e-01  1.067613e-02 
 1.401346e-01  1.103629e-02 
 1.405384e-01  1.146205e-02 
 1.409423e-01  1.197701e-02 
 1.413461e-01  1.257852e-02 
 1.417500e-01  1.327947e-02 
 1.421538e-01  1.405947e-02 
 1.425577e-01  1.487846e-02 
 1.429615e-01  1.571694e-02 
 1.433654e-01  1.657015e-02 
 1.437692e-01  1.743568e-02 
 1.441731e-01  1.829625e-02 
 1.445769e-01  1.914994e-02 
 1.449807e-01  1.998240e-02 
 1.453846e-01  2.078249e-02 
 1.457884e-01  2.154369e-02 
 1.461923e-01  2.225896e-02 
 1.465961e-01  2.292118e-02 
 1.470000e-01  2.349525e-02 
 1.474038e-01  2.396010e-02 
 1.478077e-01  2.433274e-02 
 1.482115e-01  2.462203e-02 
 1.486154e-01  2.483521e-02 
 1.490192e-01  2.499541e-02 
 1.494231e-01  2.510522e-02 
 1.498269e-01  2.516102e-02 
 1.502307e-01  2.516717e-02 
 1.506346e-01  2.512406e-02 
 1.510384e-01  2.501962e-02 
 1.514423e-01  2.484047e-02 
 1.518461e-01  2.458956e-02 
 1.522500e-01  2.427638e-02 
 1.526538e-01  2.391389e-02 
 1.530577e-01  2.350634e-02 
 1.534615e-01  2.305626e-02 
 1.538654e-01  2.256187e-02 
 1.542692e-01  2.202769e-02 
 1.546731e-01  2.147725e-02 
 1.550769e-01  2.092710e-02 
 1.554807e-01  2.037607e-02 
 1.558846e-01  1.982179e-02 
 1.562884e-01  1.925686e-02 
 1.566923e-01  1.868997e-02 
 1.570961e-01  1.813003e-02 
 1.575000e-01  1.759597e-02 
 1.579038e-01  1.711639e-02 
 1.583077e-01  1.670578e-02 
 1.587115e-01  1.638781e-02 
 1.591154e-01  1.617949e-02 
 1.595192e-01  1.611409e-02 
 1.599231e-01  1.619806e-02 
 1.603269e-01  1.643224e-02 
 1.607307e-01  1.679815e-02 
 1.611346e-01  1.727462e-02 
 1.615384e-01  1.784208e-02 
 1.619423e-01  1.848903e-02 
 1.623461e-01  1.920311e-02 
 1.627500e-01  1.997377e-02 
 1.631538e-01  2.078025e-02 
 1.635577e-01  2.158844e-02 
