         time tilt_up_se... 
 5.600593e-02 -6.176771e-03 
 5.632891e-02 -6.085164e-03 
 5.665190e-02 -6.003514e-03 
 5.697488e-02 -5.934289e-03 
 5.729787e-02 -5.875332e-03 
 5.762085e-02 -5.822140e-03 
 5.794384e-02 -5.766227e-03 
 5.826682e-02 -5.699295e-03 
 5.858981e-02 -5.618759e-03 
 5.891279e-02 -5.523931e-03 
 5.923578e-02 -5.418962e-03 
 5.955876e-02 -5.305974e-03 
 5.988174e-02 -5.190146e-03 
 6.020473e-02 -5.071929e-03 
 6.052771e-02 -4.959607e-03 
 6.085069e-02 -4.839262e-03 
 6.117367e-02 -4.708516e-03 
 6.149666e-02 -4.565474e-03 
 6.181964e-02 -4.416933e-03 
 6.214262e-02 -4.272606e-03 
 6.246561e-02 -4.131649e-03 
 6.278860e-02 -3.986724e-03 
 6.311158e-02 -3.839831e-03 
 6.343457e-02 -3.681423e-03 
 6.375756e-02 -3.509968e-03 
 6.408055e-02 -3.326315e-03 
 6.440354e-02 -3.129223e-03 
 6.472653e-02 -2.924768e-03 
 6.504952e-02 -2.721992e-03 
 6.537251e-02 -2.534479e-03 
 6.569550e-02 -2.357269e-03 
 6.601849e-02 -2.184579e-03 
 6.634148e-02 -2.008262e-03 
 6.666447e-02 -1.839119e-03 
 6.698746e-02 -1.666288e-03 
 6.731045e-02 -1.504359e-03 
 6.763344e-02 -1.343994e-03 
 6.795643e-02 -1.156261e-03 
 6.827942e-02 -9.955611e-04 
 6.860241e-02 -7.882768e-04 
 6.892540e-02 -6.106518e-04 
 6.924840e-02 -4.255195e-04 
 6.957139e-02 -2.022325e-04 
 6.989438e-02 -4.734241e-05 
 7.021737e-02  1.499335e-04 
 7.054036e-02  2.684108e-04 
 7.086336e-02  4.094758e-04 
 7.118635e-02  5.019790e-04 
 7.150934e-02  5.883346e-04 
 7.183233e-02  7.120320e-04 
 7.215532e-02  8.199021e-04 
 7.247832e-02  9.344062e-04 
 7.280131e-02  1.006051e-03 
 7.312430e-02  1.069015e-03 
 7.344729e-02  1.177853e-03 
 7.377029e-02  1.253714e-03 
 7.409328e-02  1.360843e-03 
 7.441627e-02  1.426101e-03 
 7.473926e-02  1.519845e-03 
 7.506226e-02  1.587604e-03 
 7.538525e-02  1.550707e-03 
 7.570824e-02  1.545405e-03 
 7.603124e-02  1.471397e-03 
 7.635423e-02  1.425925e-03 
 7.667722e-02  1.319983e-03 
 7.700022e-02  1.281048e-03 
 7.732321e-02  1.178338e-03 
 7.764620e-02  1.094069e-03 
 7.796920e-02  9.941721e-04 
 7.829219e-02  8.738489e-04 
 7.861519e-02  7.724864e-04 
 7.893818e-02  6.409417e-04 
 7.926117e-02  4.987395e-04 
 7.958417e-02  3.538773e-04 
 7.990716e-02  1.677577e-04 
 8.023016e-02 -1.278642e-05 
 8.055315e-02 -2.487163e-04 
 8.087614e-02 -4.836304e-04 
 8.119914e-02 -7.394057e-04 
 8.152213e-02 -9.704891e-04 
 8.184513e-02 -1.238644e-03 
 8.216812e-02 -1.494849e-03 
 8.249111e-02 -1.734246e-03 
 8.281411e-02 -1.964513e-03 
 8.313710e-02 -2.214639e-03 
 8.346010e-02 -2.467335e-03 
 8.378309e-02 -2.699722e-03 
 8.410609e-02 -2.952744e-03 
 8.442908e-02 -3.234000e-03 
 8.475208e-02 -3.517999e-03 
 8.507507e-02 -3.802190e-03 
 8.539807e-02 -4.080248e-03 
 8.572106e-02 -4.407971e-03 
 8.604406e-02 -4.717811e-03 
 8.636705e-02 -5.034982e-03 
 8.669005e-02 -5.303938e-03 
 8.701305e-02 -5.557408e-03 
 8.733604e-02 -5.780706e-03 
 8.765904e-02 -5.996798e-03 
 8.798203e-02 -6.176962e-03 
 8.830503e-02 -6.352012e-03 
 8.862802e-02 -6.529259e-03 
 8.895102e-02 -6.700402e-03 
 8.927401e-02 -6.837319e-03 
 8.959701e-02 -6.999190e-03 
 8.992001e-02 -7.136311e-03 
 9.024300e-02 -7.266003e-03 
 9.056600e-02 -7.386763e-03 
 9.088899e-02 -7.507483e-03 
 9.121199e-02 -7.601433e-03 
 9.153498e-02 -7.679377e-03 
 9.185798e-02 -7.699569e-03 
 9.218097e-02 -7.717901e-03 
 9.250397e-02 -7.685199e-03 
 9.282696e-02 -7.635473e-03 
 9.314996e-02 -7.550538e-03 
 9.347296e-02 -7.472734e-03 
 9.379595e-02 -7.371249e-03 
 9.411895e-02 -7.259786e-03 
 9.444194e-02 -7.141273e-03 
 9.476494e-02 -7.008317e-03 
 9.508793e-02 -6.853825e-03 
 9.541092e-02 -6.680086e-03 
 9.573392e-02 -6.488120e-03 
 9.605691e-02 -6.293956e-03 
 9.637991e-02 -6.076437e-03 
 9.670290e-02 -5.835303e-03 
 9.702590e-02 -5.542707e-03 
 9.734889e-02 -5.221034e-03 
 9.767188e-02 -4.870149e-03 
 9.799488e-02 -4.479232e-03 
 9.831787e-02 -4.090869e-03 
 9.864085e-02 -3.699270e-03 
 9.896384e-02 -3.290415e-03 
 9.928683e-02 -2.871268e-03 
 9.960982e-02 -2.450167e-03 
 9.993280e-02 -2.017192e-03 
 1.002558e-01 -1.548482e-03 
 1.005788e-01 -1.081104e-03 
 1.009018e-01 -5.755649e-04 
 1.012248e-01 -9.354874e-05 
 1.015477e-01  4.076217e-04 
 1.018707e-01  9.519233e-04 
 1.021937e-01  1.504139e-03 
 1.025167e-01  2.078724e-03 
 1.028397e-01  2.653569e-03 
 1.031627e-01  3.250498e-03 
 1.034857e-01  3.823814e-03 
 1.038087e-01  4.383564e-03 
 1.041317e-01  4.918493e-03 
 1.044547e-01  5.457006e-03 
 1.047776e-01  5.954937e-03 
 1.051006e-01  6.468405e-03 
 1.054236e-01  6.972411e-03 
 1.057466e-01  7.462814e-03 
 1.060696e-01  7.961471e-03 
 1.063926e-01  8.469032e-03 
 1.067156e-01  8.978858e-03 
 1.070386e-01  9.475907e-03 
 1.073616e-01  9.971556e-03 
 1.076845e-01  1.047475e-02 
 1.080075e-01  1.095293e-02 
 1.083305e-01  1.140349e-02 
 1.086535e-01  1.181722e-02 
 1.089765e-01  1.221406e-02 
 1.092995e-01  1.258401e-02 
 1.096225e-01  1.291853e-02 
 1.099455e-01  1.324129e-02 
 1.102684e-01  1.358388e-02 
 1.105914e-01  1.391510e-02 
 1.109144e-01  1.424686e-02 
 1.112374e-01  1.457100e-02 
 1.115604e-01  1.488187e-02 
 1.118834e-01  1.519497e-02 
 1.122064e-01  1.549025e-02 
 1.125294e-01  1.577754e-02 
 1.128524e-01  1.606389e-02 
 1.131754e-01  1.633321e-02 
 1.134984e-01  1.656368e-02 
 1.138214e-01  1.677568e-02 
 1.141444e-01  1.698270e-02 
 1.144674e-01  1.717721e-02 
 1.147904e-01  1.734355e-02 
 1.151134e-01  1.755161e-02 
 1.154364e-01  1.774651e-02 
 1.157594e-01  1.797073e-02 
 1.160824e-01  1.817724e-02 
 1.164054e-01  1.841590e-02 
 1.167284e-01  1.863593e-02 
 1.170514e-01  1.883168e-02 
 1.173744e-01  1.903378e-02 
 1.176974e-01  1.923415e-02 
 1.180204e-01  1.942370e-02 
 1.183434e-01  1.962066e-02 
 1.186664e-01  1.980444e-02 
 1.189894e-01  1.995635e-02 
 1.193124e-01  2.009956e-02 
 1.196354e-01  2.023308e-02 
 1.199584e-01  2.038820e-02 
 1.202814e-01  2.055167e-02 
 1.206044e-01  2.067835e-02 
 1.209274e-01  2.085509e-02 
 1.212504e-01  2.101160e-02 
 1.215734e-01  2.115336e-02 
 1.218964e-01  2.127781e-02 
 1.222194e-01  2.140019e-02 
 1.225424e-01  2.146949e-02 
 1.228654e-01  2.151178e-02 
 1.231884e-01  2.155817e-02 
 1.235114e-01  2.153742e-02 
 1.238344e-01  2.149044e-02 
 1.241574e-01  2.142231e-02 
 1.244804e-01  2.132993e-02 
 1.248034e-01  2.121525e-02 
 1.251264e-01  2.111467e-02 
 1.254494e-01  2.098080e-02 
 1.257724e-01  2.086251e-02 
 1.260954e-01  2.072235e-02 
 1.264184e-01  2.057941e-02 
 1.267414e-01  2.037826e-02 
 1.270644e-01  2.014568e-02 
 1.273874e-01  1.985425e-02 
 1.277104e-01  1.954333e-02 
 1.280334e-01  1.920477e-02 
 1.283564e-01  1.884732e-02 
 1.286795e-01  1.844466e-02 
 1.290025e-01  1.804925e-02 
 1.293255e-01  1.762445e-02 
 1.296485e-01  1.719927e-02 
 1.299715e-01  1.673788e-02 
 1.302945e-01  1.628375e-02 
 1.306175e-01  1.584047e-02 
 1.309405e-01  1.538994e-02 
 1.312635e-01  1.493692e-02 
 1.315865e-01  1.446621e-02 
 1.319095e-01  1.400780e-02 
 1.322325e-01  1.349452e-02 
 1.325555e-01  1.299095e-02 
 1.328785e-01  1.243586e-02 
 1.332015e-01  1.191473e-02 
 1.335245e-01  1.139783e-02 
 1.338475e-01  1.085479e-02 
 1.341705e-01  1.032471e-02 
 1.344935e-01  9.796469e-03 
 1.348165e-01  9.300585e-03 
 1.351395e-01  8.796716e-03 
 1.354625e-01  8.304876e-03 
 1.357855e-01  7.819849e-03 
 1.361085e-01  7.361821e-03 
 1.364315e-01  6.906839e-03 
 1.367545e-01  6.445727e-03 
 1.370775e-01  5.972851e-03 
 1.374005e-01  5.502003e-03 
 1.377235e-01  5.020252e-03 
 1.380465e-01  4.545746e-03 
 1.383695e-01  4.101661e-03 
 1.386925e-01  3.668254e-03 
 1.390155e-01  3.244912e-03 
 1.393385e-01  2.860731e-03 
 1.396615e-01  2.493646e-03 
 1.399845e-01  2.112387e-03 
 1.403075e-01  1.756676e-03 
 1.406305e-01  1.404013e-03 
 1.409535e-01  1.072244e-03 
 1.412765e-01  7.661123e-04 
 1.415995e-01  4.650611e-04 
 1.419225e-01  1.746327e-04 
 1.422455e-01 -1.472296e-04 
 1.425685e-01 -4.561405e-04 
 1.428915e-01 -7.857063e-04 
 1.432145e-01 -1.112367e-03 
 1.435375e-01 -1.379769e-03 
 1.438605e-01 -1.624066e-03 
 1.441835e-01 -1.834020e-03 
 1.445065e-01 -2.022733e-03 
 1.448295e-01 -2.179785e-03 
 1.451525e-01 -2.326570e-03 
 1.454755e-01 -2.455905e-03 
 1.457985e-01 -2.573065e-03 
 1.461215e-01 -2.685116e-03 
 1.464445e-01 -2.789040e-03 
 1.467675e-01 -2.884410e-03 
 1.470905e-01 -2.953911e-03 
 1.474135e-01 -3.036572e-03 
 1.477365e-01 -3.087729e-03 
 1.480595e-01 -3.119343e-03 
 1.483825e-01 -3.113491e-03 
 1.487054e-01 -3.089975e-03 
 1.490284e-01 -3.020801e-03 
 1.493514e-01 -2.938951e-03 
 1.496744e-01 -2.824558e-03 
 1.499974e-01 -2.686026e-03 
 1.503204e-01 -2.538246e-03 
 1.506434e-01 -2.383484e-03 
 1.509664e-01 -2.204103e-03 
 1.512894e-01 -2.024431e-03 
 1.516124e-01 -1.824156e-03 
 1.519354e-01 -1.624467e-03 
 1.522584e-01 -1.408190e-03 
 1.525814e-01 -1.200740e-03 
 1.529043e-01 -9.843097e-04 
 1.532273e-01 -7.511203e-04 
 1.535503e-01 -5.064074e-04 
 1.538733e-01 -2.582173e-04 
 1.541963e-01  1.975180e-05 
 1.545192e-01  3.051106e-04 
 1.548422e-01  6.011409e-04 
 1.551652e-01  8.732888e-04 
 1.554882e-01  1.141482e-03 
 1.558112e-01  1.386920e-03 
 1.561342e-01  1.606262e-03 
 1.564571e-01  1.814548e-03 
 1.567801e-01  2.003471e-03 
 1.571031e-01  2.189001e-03 
 1.574261e-01  2.367269e-03 
 1.577491e-01  2.523054e-03 
 1.580721e-01  2.653687e-03 
 1.583950e-01  2.794094e-03 
 1.587180e-01  2.921067e-03 
 1.590410e-01  3.047802e-03 
 1.593640e-01  3.167850e-03 
 1.596870e-01  3.287867e-03 
 1.600099e-01  3.376879e-03 
 1.603329e-01  3.444346e-03 
 1.606559e-01  3.485429e-03 
 1.609789e-01  3.496785e-03 
 1.613019e-01  3.478183e-03 
 1.616249e-01  3.448271e-03 
 1.619478e-01  3.403330e-03 
 1.622708e-01  3.364033e-03 
 1.625938e-01  3.309274e-03 
 1.629168e-01  3.243959e-03 
 1.632398e-01  3.177783e-03 
 1.635628e-01  3.113265e-03 
 1.638858e-01  3.042998e-03 
 1.642087e-01  2.988317e-03 
 1.645317e-01  2.935949e-03 
 1.648547e-01  2.882056e-03 
 1.651777e-01  2.795314e-03 
 1.655007e-01  2.695032e-03 
 1.658237e-01  2.565157e-03 
 1.661467e-01  2.432263e-03 
 1.664697e-01  2.293912e-03 
 1.667927e-01  2.154520e-03 
 1.671157e-01  2.022905e-03 
 1.674387e-01  1.912406e-03 
 1.677616e-01  1.806079e-03 
 1.680846e-01  1.707055e-03 
 1.684076e-01  1.609094e-03 
 1.687306e-01  1.515727e-03 
 1.690536e-01  1.417196e-03 
 1.693766e-01  1.339810e-03 
 1.696996e-01  1.256089e-03 
 1.700226e-01  1.157836e-03 
 1.703456e-01  1.056097e-03 
 1.706686e-01  9.635181e-04 
 1.709916e-01  8.417997e-04 
 1.713146e-01  7.193287e-04 
 1.716376e-01  5.911070e-04 
 1.719606e-01  4.784078e-04 
 1.722836e-01  3.687798e-04 
 1.726066e-01  2.789362e-04 
 1.729296e-01  1.838554e-04 
 1.732526e-01  1.095268e-04 
 1.735756e-01  3.078658e-05 
 1.738986e-01 -5.339486e-05 
 1.742216e-01 -1.447696e-04 
 1.745445e-01 -2.513498e-04 
 1.748675e-01 -3.774798e-04 
 1.751905e-01 -5.237946e-04 
 1.755135e-01 -6.885748e-04 
 1.758365e-01 -8.651525e-04 
 1.761595e-01 -1.055863e-03 
 1.764825e-01 -1.260552e-03 
 1.768055e-01 -1.463481e-03 
 1.771285e-01 -1.665878e-03 
 1.774515e-01 -1.861859e-03 
 1.777745e-01 -2.050961e-03 
 1.780975e-01 -2.241919e-03 
 1.784205e-01 -2.446966e-03 
 1.787435e-01 -2.663888e-03 
 1.790665e-01 -2.896450e-03 
 1.793895e-01 -3.140710e-03 
 1.797125e-01 -3.393617e-03 
 1.800355e-01 -3.651104e-03 
 1.803585e-01 -3.903539e-03 
 1.806815e-01 -4.169923e-03 
 1.810045e-01 -4.439283e-03 
 1.813275e-01 -4.709009e-03 
 1.816505e-01 -4.978718e-03 
 1.819735e-01 -5.242107e-03 
 1.822965e-01 -5.482767e-03 
 1.826195e-01 -5.710586e-03 
 1.829425e-01 -5.925317e-03 
 1.832655e-01 -6.132964e-03 
 1.835885e-01 -6.339201e-03 
 1.839115e-01 -6.558748e-03 
 1.842345e-01 -6.780210e-03 
 1.845575e-01 -7.004057e-03 
 1.848805e-01 -7.221106e-03 
 1.852035e-01 -7.429675e-03 
 1.855265e-01 -7.630775e-03 
 1.858495e-01 -7.813864e-03 
 1.861725e-01 -7.989494e-03 
 1.864955e-01 -8.153066e-03 
 1.868185e-01 -8.304008e-03 
 1.871415e-01 -8.433429e-03 
 1.874645e-01 -8.539527e-03 
 1.877875e-01 -8.633276e-03 
 1.881105e-01 -8.715940e-03 
 1.884335e-01 -8.786861e-03 
 1.887565e-01 -8.848232e-03 
 1.890795e-01 -8.913929e-03 
 1.894025e-01 -8.979024e-03 
 1.897255e-01 -9.039311e-03 
 1.900485e-01 -9.088247e-03 
 1.903715e-01 -9.139025e-03 
 1.906945e-01 -9.178461e-03 
 1.910175e-01 -9.208842e-03 
 1.913405e-01 -9.220669e-03 
 1.916635e-01 -9.216393e-03 
 1.919865e-01 -9.182641e-03 
 1.923095e-01 -9.133707e-03 
 1.926325e-01 -9.067754e-03 
 1.929555e-01 -8.979274e-03 
 1.932785e-01 -8.869207e-03 
 1.936015e-01 -8.768600e-03 
 1.939245e-01 -8.681590e-03 
 1.942475e-01 -8.590825e-03 
 1.945705e-01 -8.499806e-03 
 1.948935e-01 -8.403835e-03 
 1.952165e-01 -8.297303e-03 
 1.955395e-01 -8.177630e-03 
 1.958625e-01 -8.016813e-03 
 1.961855e-01 -7.834956e-03 
 1.965085e-01 -7.623187e-03 
 1.968315e-01 -7.392126e-03 
 1.971545e-01 -7.141051e-03 
 1.974775e-01 -6.872256e-03 
 1.978005e-01 -6.584922e-03 
 1.981235e-01 -6.283773e-03 
 1.984465e-01 -5.958949e-03 
 1.987695e-01 -5.618914e-03 
 1.990925e-01 -5.263145e-03 
 1.994155e-01 -4.890956e-03 
 1.997385e-01 -4.499630e-03 
 2.000615e-01 -4.095220e-03 
 2.003845e-01 -3.654486e-03 
 2.007075e-01 -3.192550e-03 
 2.010305e-01 -2.703561e-03 
 2.013535e-01 -2.183897e-03 
 2.016765e-01 -1.634751e-03 
 2.019995e-01 -1.078910e-03 
 2.023225e-01 -5.056114e-04 
 2.026454e-01  7.128485e-05 
 2.029684e-01  6.607012e-04 
 2.032914e-01  1.250487e-03 
 2.036144e-01  1.851686e-03 
 2.039374e-01  2.440468e-03 
 2.042604e-01  3.027736e-03 
 2.045834e-01  3.606140e-03 
 2.049064e-01  4.187254e-03 
 2.052293e-01  4.766755e-03 
 2.055523e-01  5.350767e-03 
 2.058753e-01  5.927983e-03 
 2.061983e-01  6.515350e-03 
 2.065213e-01  7.086935e-03 
 2.068443e-01  7.646891e-03 
 2.071673e-01  8.174419e-03 
 2.074903e-01  8.689668e-03 
 2.078133e-01  9.168273e-03 
 2.081362e-01  9.610578e-03 
 2.084592e-01  1.002630e-02 
 2.087822e-01  1.042296e-02 
 2.091052e-01  1.077575e-02 
 2.094282e-01  1.109082e-02 
 2.097512e-01  1.137718e-02 
 2.100742e-01  1.164137e-02 
 2.103971e-01  1.187842e-02 
 2.107201e-01  1.209585e-02 
 2.110431e-01  1.229531e-02 
 2.113661e-01  1.247810e-02 
 2.116891e-01  1.263232e-02 
 2.120121e-01  1.276658e-02 
 2.123351e-01  1.286340e-02 
 2.126580e-01  1.293367e-02 
 2.129810e-01  1.297132e-02 
