time;sensor1 tvalx;sensor1 tminx;sensor1 tmaxx;sensor1 tvaly;sensor1 tminy;sensor1 tmaxy;sensor1 avalx1;sensor1 aminx1;sensor1 amaxx1;sensor1 avaly1;sensor1 aminy1;sensor1 amaxy1;sensor1 avalz1;sensor1 aminz1;sensor1 amaxz1;sensor1 avalx2;sensor1 aminx2;sensor1 amaxx2;sensor1 avaly2;sensor1 aminy2;sensor1 amaxy2;sensor1 avalz2;sensor1 aminz2;sensor1 amaxz2
17-12-2020_10:55:00;320,0;314,0;327,0;985,0;973,0;998,0;124,0;-218,0;454,0;370,0;71,0;593,0;16746,0;16325,0;17248,0;-7,0;-265,0;253,0;446,0;296,0;594,0;16482,0;16208,0;16861,0
17-12-2020_10:55:05;320,0;314,0;326,0;984,0;971,0;995,0;123,0;-247,0;492,0;369,0;132,0;594,0;16744,0;16299,0;17234,0;-9,0;-267,0;243,0;446,0;319,0;587,0;16487,0;16239,0;16756,0
17-12-2020_10:55:10;320,0;317,0;324,0;985,0;971,0;998,0;123,0;-283,0;452,0;366,0;109,0;572,0;16745,0;16242,0;17258,0;-9,0;-290,0;215,0;447,0;290,0;588,0;16483,0;16214,0;16807,0
17-12-2020_10:55:15;319,0;306,0;333,0;983,0;971,0;1002,0;120,0;-275,0;452,0;368,0;96,0;577,0;16741,0;16251,0;17200,0;-11,0;-249,0;238,0;447,0;281,0;618,0;16482,0;16231,0;16816,0
17-12-2020_10:55:20;320,0;306,0;332,0;984,0;964,0;1004,0;122,0;-265,0;463,0;371,0;128,0;626,0;16751,0;16352,0;17222,0;-8,0;-292,0;243,0;446,0;290,0;595,0;16484,0;16205,0;16826,0
17-12-2020_10:55:25;320,0;313,0;328,0;984,0;971,0;1001,0;118,0;-207,0;445,0;369,0;137,0;585,0;16747,0;16337,0;17285,0;-9,0;-283,0;256,0;444,0;311,0;577,0;16487,0;16215,0;16773,0
17-12-2020_10:55:30;319,0;314,0;326,0;984,0;973,0;998,0;128,0;-231,0;486,0;369,0;111,0;605,0;16746,0;16304,0;17207,0;-12,0;-289,0;229,0;447,0;310,0;594,0;16483,0;16170,0;16766,0
17-12-2020_10:55:35;319,0;312,0;325,0;983,0;973,0;999,0;126,0;-230,0;464,0;373,0;114,0;606,0;16748,0;16293,0;17205,0;-10,0;-320,0;259,0;449,0;274,0;628,0;16484,0;16221,0;16764,0
17-12-2020_10:55:40;319,0;311,0;328,0;983,0;967,0;995,0;127,0;-229,0;454,0;371,0;152,0;623,0;16750,0;16334,0;17238,0;-7,0;-256,0;246,0;450,0;318,0;573,0;16484,0;16233,0;16788,0
17-12-2020_10:55:45;320,0;315,0;325,0;982,0;969,0;998,0;123,0;-199,0;476,0;369,0;129,0;602,0;16745,0;16268,0;17257,0;-10,0;-299,0;262,0;448,0;316,0;602,0;16487,0;16226,0;16772,0
17-12-2020_10:55:50;319,0;316,0;325,0;982,0;970,0;996,0;122,0;-213,0;443,0;371,0;138,0;610,0;16749,0;16329,0;17226,0;-13,0;-290,0;235,0;449,0;315,0;579,0;16487,0;16188,0;16796,0
17-12-2020_10:55:55;320,0;315,0;326,0;982,0;970,0;996,0;121,0;-243,0;443,0;370,0;110,0;623,0;16742,0;16340,0;17258,0;-13,0;-318,0;243,0;448,0;280,0;620,0;16485,0;16220,0;16767,0
