time;sensor1 tvalx;sensor1 tminx;sensor1 tmaxx;sensor1 tvaly;sensor1 tminy;sensor1 tmaxy;sensor1 avalx1;sensor1 aminx1;sensor1 amaxx1;sensor1 avaly1;sensor1 aminy1;sensor1 amaxy1;sensor1 avalz1;sensor1 aminz1;sensor1 amaxz1;sensor1 avalx2;sensor1 aminx2;sensor1 amaxx2;sensor1 avaly2;sensor1 aminy2;sensor1 amaxy2;sensor1 avalz2;sensor1 aminz2;sensor1 amaxz2
04-01-2021_12:09:10;-17,0;-25,0;-13,0;-81,0;-95,0;-69,0;211,0;-145,0;562,0;333,0;103,0;573,0;16614,0;16178,0;17137,0;-15,0;-301,0;229,0;417,0;283,0;564,0;16590,0;16311,0;16886,0
04-01-2021_12:09:15;-18,0;-22,0;-14,0;-82,0;-94,0;-71,0;218,0;-190,0;554,0;334,0;68,0;590,0;16616,0;16203,0;17146,0;-12,0;-262,0;255,0;416,0;279,0;555,0;16590,0;16301,0;16861,0
04-01-2021_12:09:20;-18,0;-23,0;-14,0;-84,0;-99,0;-71,0;211,0;-142,0;553,0;333,0;85,0;586,0;16614,0;16198,0;17053,0;-14,0;-263,0;223,0;416,0;266,0;550,0;16593,0;16307,0;16898,0
04-01-2021_12:09:25;-18,0;-22,0;-14,0;-85,0;-97,0;-73,0;216,0;-164,0;576,0;334,0;84,0;519,0;16616,0;16109,0;17103,0;-13,0;-283,0;250,0;419,0;260,0;560,0;16591,0;16335,0;16888,0
04-01-2021_12:09:30;-18,0;-23,0;-14,0;-87,0;-99,0;-74,0;217,0;-138,0;555,0;333,0;70,0;579,0;16616,0;16204,0;17104,0;-10,0;-280,0;246,0;418,0;269,0;569,0;16593,0;16292,0;16876,0
04-01-2021_12:09:35;-18,0;-23,0;-13,0;-88,0;-100,0;-76,0;217,0;-139,0;557,0;330,0;69,0;568,0;16616,0;16142,0;17207,0;-9,0;-280,0;245,0;417,0;269,0;564,0;16594,0;16347,0;16909,0
04-01-2021_12:09:40;-18,0;-23,0;-13,0;-90,0;-103,0;-76,0;214,0;-107,0;538,0;333,0;95,0;551,0;16618,0;16157,0;17070,0;-11,0;-286,0;244,0;417,0;283,0;554,0;16593,0;16328,0;16868,0
04-01-2021_12:09:45;-18,0;-25,0;-13,0;-91,0;-103,0;-79,0;214,0;-178,0;557,0;327,0;97,0;543,0;16614,0;16222,0;17089,0;-12,0;-303,0;231,0;417,0;293,0;566,0;16591,0;16337,0;16844,0
04-01-2021_12:09:50;-18,0;-22,0;-15,0;-93,0;-108,0;-82,0;213,0;-145,0;566,0;331,0;83,0;573,0;16611,0;16175,0;17112,0;-15,0;-278,0;261,0;418,0;274,0;553,0;16593,0;16353,0;16950,0
04-01-2021_12:09:55;-18,0;-23,0;-13,0;-94,0;-107,0;-82,0;218,0;-161,0;557,0;329,0;84,0;554,0;16612,0;16104,0;17128,0;-13,0;-282,0;250,0;418,0;274,0;560,0;16592,0;16316,0;16890,0
